run_id,dataset,condition,seed,best_epoch,val_acc,test_acc,test_f1,test_prec,test_rec,tokenize_s,train_s,test_inference_s,peak_mem_gb,max_len,batch,lr,warmup,attn,model
ttc3600_original_s42,ttc3600,original,42,2,0.95,0.975,0.975,0.9756,0.975,0.26,54.58,0.205,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_original_s43,ttc3600,original,43,3,0.9528,0.975,0.9749,0.9749,0.975,0.25,54.87,0.229,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_original_s44,ttc3600,original,44,6,0.9528,0.9778,0.9778,0.978,0.9778,0.24,54.91,0.217,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_original_s45,ttc3600,original,45,3,0.9611,0.9694,0.9695,0.9697,0.9694,0.26,54.72,0.217,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_original_s46,ttc3600,original,46,2,0.9583,0.975,0.9751,0.9754,0.975,0.24,54.66,0.222,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_vertexcover_s42,ttc3600,vertexcover,42,2,0.9417,0.95,0.95,0.9513,0.95,0.13,54.41,0.214,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_vertexcover_s43,ttc3600,vertexcover,43,6,0.9361,0.9583,0.9585,0.9593,0.9583,0.13,54.7,0.221,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_vertexcover_s44,ttc3600,vertexcover,44,8,0.9472,0.95,0.9498,0.9499,0.95,0.14,54.68,0.226,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_vertexcover_s45,ttc3600,vertexcover,45,2,0.9389,0.95,0.9502,0.9521,0.95,0.13,54.47,0.214,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_vertexcover_s46,ttc3600,vertexcover,46,4,0.95,0.9528,0.9528,0.9531,0.9528,0.14,54.55,0.21,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_lead_s42,ttc3600,lead,42,7,0.9528,0.9556,0.9551,0.956,0.9556,0.12,54.54,0.206,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_lead_s43,ttc3600,lead,43,3,0.95,0.9667,0.9661,0.9668,0.9667,0.13,54.5,0.206,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_lead_s44,ttc3600,lead,44,7,0.9528,0.9528,0.9528,0.9535,0.9528,0.12,54.73,0.222,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_lead_s45,ttc3600,lead,45,3,0.9556,0.9639,0.9639,0.9641,0.9639,0.14,55.19,0.224,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_lead_s46,ttc3600,lead,46,3,0.9583,0.9639,0.9642,0.9654,0.9639,0.13,54.51,0.218,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_tfidf_s42,ttc3600,tfidf,42,8,0.9278,0.9611,0.9612,0.9617,0.9611,0.13,54.89,0.213,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_tfidf_s43,ttc3600,tfidf,43,7,0.9278,0.9556,0.9551,0.956,0.9556,0.12,54.78,0.215,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_tfidf_s44,ttc3600,tfidf,44,6,0.9278,0.9694,0.9694,0.9697,0.9694,0.13,55.26,0.21,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_tfidf_s45,ttc3600,tfidf,45,6,0.9333,0.9667,0.9667,0.967,0.9667,0.13,54.75,0.219,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_tfidf_s46,ttc3600,tfidf,46,4,0.9278,0.9694,0.9693,0.9699,0.9694,0.12,54.64,0.22,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_textrank_s42,ttc3600,textrank,42,4,0.9361,0.9611,0.9609,0.9614,0.9611,0.13,54.58,0.221,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_textrank_s43,ttc3600,textrank,43,5,0.9361,0.9611,0.961,0.9622,0.9611,0.13,54.64,0.209,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_textrank_s44,ttc3600,textrank,44,1,0.9389,0.9667,0.9667,0.9671,0.9667,0.13,54.41,0.209,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_textrank_s45,ttc3600,textrank,45,4,0.9389,0.9583,0.9587,0.9602,0.9583,0.13,54.79,0.213,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_textrank_s46,ttc3600,textrank,46,3,0.9472,0.9611,0.961,0.9613,0.9611,0.12,54.78,0.222,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_random0_s42,ttc3600,random0,42,7,0.9167,0.9611,0.9609,0.9613,0.9611,0.13,54.81,0.22,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_random0_s43,ttc3600,random0,43,3,0.9111,0.95,0.9496,0.9501,0.95,0.13,54.7,0.215,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_random0_s44,ttc3600,random0,44,6,0.8972,0.9556,0.955,0.957,0.9556,0.13,54.64,0.208,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_random0_s45,ttc3600,random0,45,3,0.9167,0.9528,0.9526,0.9535,0.9528,0.13,54.68,0.22,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_random0_s46,ttc3600,random0,46,5,0.9139,0.9333,0.9328,0.934,0.9333,0.12,55.16,0.217,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_random1_s42,ttc3600,random1,42,5,0.9139,0.9194,0.9184,0.9198,0.9194,0.12,54.55,0.208,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_random1_s43,ttc3600,random1,43,6,0.9111,0.9361,0.9358,0.9362,0.9361,0.13,54.84,0.215,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_random1_s44,ttc3600,random1,44,6,0.9167,0.9167,0.9159,0.918,0.9167,0.12,54.54,0.219,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_random1_s45,ttc3600,random1,45,3,0.9056,0.9361,0.9361,0.9364,0.9361,0.13,54.71,0.218,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_random1_s46,ttc3600,random1,46,2,0.9056,0.9194,0.9179,0.9202,0.9194,0.15,54.5,0.217,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_random2_s42,ttc3600,random2,42,1,0.9222,0.95,0.9498,0.9502,0.95,0.12,54.41,0.215,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_random2_s43,ttc3600,random2,43,1,0.925,0.9528,0.9524,0.9538,0.9528,0.14,54.5,0.217,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_random2_s44,ttc3600,random2,44,1,0.9167,0.95,0.9498,0.9515,0.95,0.13,54.44,0.229,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_random2_s45,ttc3600,random2,45,2,0.9222,0.9444,0.9447,0.9458,0.9444,0.13,54.51,0.21,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_random2_s46,ttc3600,random2,46,6,0.9306,0.95,0.9497,0.9501,0.95,0.13,54.76,0.222,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc4900_original_s42,ttc4900,original,42,2,0.9184,0.9082,0.9078,0.9111,0.9082,0.37,74.85,0.298,6.28,100,64,5e-05,62,eager,dbmdz/bert-base-turkish-cased
ttc4900_original_s43,ttc4900,original,43,4,0.9265,0.9102,0.9098,0.9131,0.9102,0.35,75.29,0.303,6.28,100,64,5e-05,62,eager,dbmdz/bert-base-turkish-cased
ttc4900_original_s44,ttc4900,original,44,5,0.9184,0.9245,0.9239,0.9249,0.9245,0.37,74.79,0.294,6.28,100,64,5e-05,62,eager,dbmdz/bert-base-turkish-cased
ttc4900_original_s45,ttc4900,original,45,3,0.9224,0.9184,0.9181,0.9192,0.9184,0.36,74.73,0.296,6.28,100,64,5e-05,62,eager,dbmdz/bert-base-turkish-cased
ttc4900_original_s46,ttc4900,original,46,1,0.9224,0.9082,0.9074,0.9083,0.9082,0.35,74.58,0.3,6.28,100,64,5e-05,62,eager,dbmdz/bert-base-turkish-cased
ttc4900_vertexcover_s42,ttc4900,vertexcover,42,3,0.9082,0.8878,0.8879,0.8895,0.8878,0.16,74.36,0.295,6.28,100,64,5e-05,62,eager,dbmdz/bert-base-turkish-cased
