run_id,dataset,condition,seed,best_epoch,val_acc,test_acc,test_f1,test_prec,test_rec,tokenize_s,train_s,test_inference_s,peak_mem_gb,max_len,batch,lr,warmup,attn,model
ttc3600_original_s42,ttc3600,original,42,7,0.9639,0.9806,0.9805,0.9808,0.9806,0.36,56.03,0.218,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_original_s43,ttc3600,original,43,2,0.9667,0.9667,0.9665,0.9666,0.9667,0.26,54.8,0.216,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_original_s44,ttc3600,original,44,7,0.9639,0.9639,0.9638,0.964,0.9639,0.26,54.28,0.218,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_original_s45,ttc3600,original,45,4,0.9611,0.9583,0.9585,0.9594,0.9583,0.26,53.37,0.212,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_original_s46,ttc3600,original,46,3,0.9583,0.9639,0.964,0.9644,0.9639,0.26,53.48,0.212,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_vertexcover_s42,ttc3600,vertexcover,42,6,0.9528,0.9472,0.9472,0.9475,0.9472,0.12,55.19,0.218,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_vertexcover_s43,ttc3600,vertexcover,43,4,0.9472,0.9444,0.9448,0.9462,0.9444,0.12,54.88,0.216,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_vertexcover_s44,ttc3600,vertexcover,44,8,0.9556,0.9528,0.9528,0.9532,0.9528,0.11,55.16,0.213,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_vertexcover_s45,ttc3600,vertexcover,45,2,0.95,0.9417,0.9421,0.9447,0.9417,0.11,53.82,0.214,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_vertexcover_s46,ttc3600,vertexcover,46,6,0.9472,0.9583,0.9584,0.9589,0.9583,0.11,54.71,0.216,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_lead_s42,ttc3600,lead,42,1,0.9472,0.9389,0.9387,0.9398,0.9389,0.11,54.68,0.219,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_lead_s43,ttc3600,lead,43,4,0.9417,0.9417,0.9419,0.9427,0.9417,0.12,55.12,0.219,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_lead_s44,ttc3600,lead,44,7,0.9444,0.95,0.9502,0.9506,0.95,0.11,54.41,0.211,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_lead_s45,ttc3600,lead,45,4,0.9389,0.9472,0.9473,0.9479,0.9472,0.12,52.93,0.21,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_lead_s46,ttc3600,lead,46,3,0.9444,0.9556,0.9557,0.9563,0.9556,0.12,53.1,0.212,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_tfidf_s42,ttc3600,tfidf,42,3,0.9222,0.9444,0.9446,0.9472,0.9444,0.12,53.07,0.21,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_tfidf_s43,ttc3600,tfidf,43,4,0.9361,0.9306,0.9305,0.9319,0.9306,0.12,53.62,0.219,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_tfidf_s44,ttc3600,tfidf,44,6,0.9361,0.9472,0.9471,0.9482,0.9472,0.12,55.62,0.22,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_tfidf_s45,ttc3600,tfidf,45,4,0.9333,0.9417,0.9416,0.9425,0.9417,0.12,55.69,0.223,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_tfidf_s46,ttc3600,tfidf,46,3,0.9333,0.9333,0.9339,0.9367,0.9333,0.11,53.59,0.209,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_textrank_s42,ttc3600,textrank,42,6,0.9389,0.9417,0.9415,0.942,0.9417,0.12,54.44,0.216,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_textrank_s43,ttc3600,textrank,43,6,0.925,0.9167,0.9168,0.9182,0.9167,0.12,54.81,0.216,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
ttc3600_textrank_s44,ttc3600,textrank,44,5,0.925,0.9389,0.939,0.9418,0.9389,0.11,55.33,0.219,6.28,100,64,5e-05,45,eager,dbmdz/bert-base-turkish-cased
